Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770302307,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770302308,5,GET,GET /,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,25,24.11545999993905,16.867700000148034,30.208399999992253,231.0
1770302308,5,POST,POST /upload,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,110.0,106.38621999987663,76.04219999984707,115.71699999967677,260.0
1770302308,5,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,10,0,30,65.25083999990784,16.867700000148034,115.71699999967677,245.5
1770302309,15,GET,GET /,0.000000,0.000000,9,11,12,12,12,12,12,12,12,12,12,12,0,12,14.828241666653716,2.929700000095181,30.208399999992253,231.0
1770302309,15,POST,POST /upload,0.000000,0.000000,68,110,110,110,110,120,120,120,120,120,120,12,0,68,80.85696666660169,50.19880000008925,115.71699999967677,260.0
1770302309,15,,Aggregated,0.000000,0.000000,63,66,71,110,110,120,120,120,120,120,120,24,0,30,47.8426041666277,2.929700000095181,115.71699999967677,245.5
1770302310,20,GET,GET /,5.000000,0.000000,6,9,11,11,12,12,12,12,12,12,12,24,0,7,10.512500000061209,2.1525000001929584,30.208399999992253,231.0
1770302310,20,POST,POST /upload,1.000000,0.000000,63,65,68,71,110,110,120,120,120,120,120,24,0,63,68.26695416659352,46.80419999976948,115.71699999967677,260.0
1770302310,20,,Aggregated,6.000000,0.000000,49,55,63,64,71,110,120,120,120,120,120,48,0,30,39.389727083327365,2.1525000001929584,115.71699999967677,245.5
1770302311,25,GET,GET /,5.000000,0.000000,6,8,9,10,12,12,12,12,12,12,12,35,0,7,8.82272000006716,2.1348000000216416,30.208399999992253,231.0
1770302311,25,POST,POST /upload,5.000000,0.000000,57,63,64,66,110,110,120,120,120,120,120,34,0,57,63.59974705877475,46.25090000035925,115.71699999967677,260.0
1770302311,25,,Aggregated,10.000000,0.000000,47,53,57,61,66,110,110,120,120,120,120,69,0,30,35.81429855073467,2.1348000000216416,115.71699999967677,245.28985507246378
1770302312,30,GET,GET /,5.666667,0.000000,5,7,9,10,12,14,16,16,16,16,16,51,0,6,8.08446470593445,2.1348000000216416,30.208399999992253,231.0
1770302312,30,POST,POST /upload,5.666667,0.000000,55,59,63,63,71,110,120,120,120,120,120,51,0,55,60.11077254899254,45.87549999996554,115.71699999967677,259.8627450980392
1770302312,30,,Aggregated,11.333333,0.000000,47,51,55,57,63,71,110,120,120,120,120,102,0,30,34.0976186274635,2.1348000000216416,115.71699999967677,245.4313725490196
1770302313,35,GET,GET /,7.250000,0.000000,4,7,8,10,14,14,15,16,16,16,16,68,0,4,7.334479411811651,1.9060999998146144,30.208399999992253,231.0
1770302313,35,POST,POST /upload,7.250000,0.000000,53,57,59,62,66,110,110,120,120,120,120,68,0,53,57.649939705864945,43.87780000024577,115.71699999967677,259.8970588235294
1770302313,35,,Aggregated,14.500000,0.000000,46,50,53,55,63,66,110,110,120,120,120,136,0,30,32.4922095588383,1.9060999998146144,115.71699999967677,245.4485294117647
1770302314,40,GET,GET /,8.400000,0.000000,3,6,8,9,12,14,15,16,16,16,16,90,0,4,6.417740000026445,1.3490000001183944,30.208399999992253,231.0
1770302314,40,POST,POST /upload,8.400000,0.000000,51,54,57,58,64,71,110,120,120,120,120,90,0,51,55.57170555552552,43.87780000024577,115.71699999967677,259.9222222222222
1770302314,40,,Aggregated,16.800000,0.000000,45,49,51,53,58,64,110,110,120,120,120,180,0,30,30.99472277777598,1.3490000001183944,115.71699999967677,245.4611111111111
1770302315,45,GET,GET /,9.500000,0.000000,3,5,7,8,11,14,15,15,16,16,16,115,0,3,5.7496930435026234,1.3490000001183944,30.208399999992253,231.0
1770302315,45,POST,POST /upload,9.333333,0.000000,50,53,56,58,63,77,110,110,120,120,120,112,0,50,54.61170357140434,43.87780000024577,115.71699999967677,259.875
1770302315,45,,Aggregated,18.833333,0.000000,44,48,50,52,58,63,77,110,120,120,120,227,0,26,29.85782158590347,1.3490000001183944,115.71699999967677,245.24669603524228
1770302316,50,GET,GET /,10.714286,0.000000,3,4,7,8,11,14,15,15,16,16,16,136,0,3,5.648420588252467,1.3490000001183944,30.208399999992253,231.0
1770302316,50,POST,POST /upload,10.571429,0.000000,50,52,54,57,63,71,110,110,120,120,120,135,0,50,53.707377037012016,43.87780000024577,115.71699999967677,259.84444444444443
1770302316,50,,Aggregated,21.285714,0.000000,45,48,50,51,57,63,77,110,120,120,120,271,0,30,29.589229151287665,1.3490000001183944,115.71699999967677,245.3690036900369
1770302317,55,GET,GET /,12.000000,0.000000,3,4,7,8,11,14,15,15,16,16,16,159,0,3,5.456513836496976,1.3490000001183944,30.208399999992253,231.0
1770302317,55,POST,POST /upload,12.000000,0.000000,49,52,54,56,62,68,110,110,120,120,120,157,0,49,53.1382261146307,43.87780000024577,115.71699999967677,259.86624203821657
