Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770302729,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770302730,5,GET,GET /,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,17,17.712720000054105,14.03310000023339,23.39399999982561,235.0
1770302730,5,GET,GET /download/{zip},0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,20,20.42701999998826,18.35929999970176,23.335100000167586,224.0
1770302730,5,POST,POST /upload,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,48,48.155080000105954,46.60390000026382,49.25920000005135,98.0
1770302730,5,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,15,0,21,28.76494000004944,14.03310000023339,49.25920000005135,185.66666666666666
1770302731,10,GET,GET /,0.000000,0.000000,8,8,8,9,9,9,9,9,9,9,9,10,0,9,12.965669999994134,6.384299999808718,23.39399999982561,235.0
1770302731,10,GET,GET /download/{zip},0.000000,0.000000,4,4,4,8,8,8,8,8,8,8,8,10,0,8,12.4355899999955,3.239799999846582,23.335100000167586,224.0
1770302731,10,POST,POST /upload,0.000000,0.000000,49,50,50,51,51,51,51,51,51,51,51,10,0,48,48.223620000089795,45.23380000000543,50.69779999985258,98.0
1770302731,10,,Aggregated,0.000000,0.000000,8,9,47,49,50,51,51,51,51,51,51,30,0,19,24.541626666693144,3.239799999846582,50.69779999985258,185.66666666666666
1770302732,15,GET,GET /,5.000000,0.000000,7,8,8,9,9,9,9,9,9,9,9,20,0,8,9.237724999979946,1.5104999997674895,23.39399999982561,235.0
1770302732,15,GET,GET /download/{zip},5.000000,0.000000,4,4,5,6,8,8,8,8,8,8,8,20,0,4,8.292260000007445,2.183300000069721,23.335100000167586,224.0
1770302732,15,POST,POST /upload,5.000000,0.000000,45,47,48,49,50,51,51,51,51,51,51,20,0,47,46.864510000023074,43.8240999997106,50.69779999985258,98.0
