Framework,VCPU,Concurrency,Run,PDF_SET,RPS,P50_ms,P95_ms,P99_ms,ErrorRate,TTA_ms,CPU_Usage,RAM_MB
node,4,1,1,small,1.5876,6,2800,3500,0.0,2.7118,54,3867
node,4,1,2,small,1.6547,6,2600,3300,0.0,1.6563,7,6659
node,4,1,3,small,1.6604,6,2600,3100,0.0,2.3705,1101,3855
node,4,1,4,small,1.6946,6,2600,3000,0.0,1.6571,2107,3905
node,4,1,5,small,1.7405,6,2500,2900,0.0,1.6491,54,4089
python,4,1,1,small,4.5254,120,550,720,0.0,132.2247,305,3653632
python,4,1,2,small,3.7181,120,610,780,0.0,134.2256,332,315904
python,4,1,3,small,3.5946,120,650,810,0.0,137.7879,331,2967552
python,4,1,4,small,3.751,120,600,750,0.0,127.648,325,2993152
python,4,1,5,small,3.7324,120,630,800,0.0,130.7831,393,3011584
node,4,10,1,small,0.4038,92,226000,249000,0.0,4.6755,56,4289
node,4,10,2,small,1.8055,51,27000,32000,0.0,2.3284,34,187
node,4,10,3,small,1.7244,66,29000,34000,0.0,1.8813,103,1471
node,4,10,4,small,0.9291,92,50000,64000,0.0,4.0668,128,1341
node,4,10,5,small,0.7758,95,62000,72000,0.0,3.7794,203,1883
python,4,10,1,small,4.4546,110,14000,55000,0.0,1119.9404,113,3346432
python,4,10,2,small,6.6575,160,9300,18000,0.0,604.2936,141,2791424
python,4,10,3,small,8.2982,190,4800,34000,0.0,510.2322,116,282624
python,4,10,4,small,10.7764,190,3200,13000,0.0,343.5306,151,2356224
python,4,10,5,small,8.4572,180,7200,14000,0.0,507.1011,111,2336768
node,4,25,1,small,7.5545,37,11000,56000,0.3915,0.5227,11,7153
node,4,25,2,small,15.5167,26,8000,9500,0.0,0.4929,18,2639
node,4,25,3,small,15.3946,28,8000,9700,0.0,0.4032,4,4005
node,4,25,4,small,14.7923,36,8100,9900,0.0,0.2789,11,4177
node,4,25,5,small,15.4245,28,7900,9500,0.0,0.3152,9,3616
python,4,25,1,small,4.7843,160,43000,63000,0.0,928.3694,111,1441792
python,4,25,2,small,7.3212,340,21000,31000,0.0923,720.0023,108,1369088
python,4,25,3,small,6.5553,390,22000,38000,0.3757,770.185,101,9254
python,4,25,4,small,7.4706,310,24000,34000,0.0,736.3691,103,7185
python,4,25,5,small,8.3038,220,20000,40000,0.0,632.3024,96,921
node,4,50,1,small,13.5853,40,16000,20000,0.0,0.4851,14,5329
node,4,50,2,small,5.1407,42,16000,20000,0.228,0.7974,35,5226
node,4,50,3,small,3.0106,44,17000,21000,0.4207,1.0988,16,5017
node,4,50,4,small,5.5306,39,17000,21000,0.4034,0.6577,1,540
node,4,50,5,small,5.9857,39,16000,20000,0.0,0.5628,5,2564
python,4,50,1,small,6.264,600,44000,54000,0.4191,1296.1278,129,8707
python,4,50,2,small,6.1188,680,46000,56000,0.3933,1322.7945,105,8898
python,4,50,3,small,4.7231,570,56000,83000,1.3798,1228.996,103,7321
python,4,50,4,small,5.4827,1300,47000,61000,0.8924,1803.4932,111,8381
python,4,50,5,small,5.8759,680,44000,75000,0.8889,1145.3976,106,9262
node,4,100,1,small,2.836,86,36000,101000,1.7195,0.9115,13587,1067008
node,4,100,2,small,3.1723,120,40000,56000,0.554,0.524,1086,4662
node,4,100,3,small,2.1566,110,44000,209000,2.4735,0.1865,724,7094
node,4,100,4,small,3.7042,110,38000,54000,0.7621,0.3028,19706,4033
node,4,100,5,small,2.9795,96,34000,95000,2.3018,0.7115,9941,3545
python,4,100,1,small,2.9975,2100,186000,278000,1.0384,2143.4351,185,1021
python,4,100,2,small,4.2311,2900,135000,151000,10.0932,2873.0869,19,9059
python,4,100,3,small,3.1273,4200,131000,186000,3.9437,2373.99,151,1024
python,4,100,4,small,3.7785,4000,117000,142000,3.8095,1901.1202,224,8668
python,4,100,5,small,3.575,2200,129000,144000,1.784,3645.4648,235,1135616
node,4,150,1,small,1.6807,4300,310000,828000,11.642,54.0218,43,4227
node,4,150,2,small,2.8745,3100,104000,152000,7.1577,0.6965,12115,3482
node,4,150,3,small,3.877,5200,84000,138000,4.6267,1.0104,40634,3668
node,4,150,4,small,1.4341,230,39000,531000,0.6443,0.7656,2173,8551
node,4,150,5,small,1.5436,210,42000,443000,0.7003,0.1694,36424,8157
python,4,150,1,small,2.6047,2900,203000,213000,1.8223,5950.4389,116,9005
python,4,150,2,small,1.7665,7900,204000,211000,6.418,4460.0443,1167,7322
python,4,150,3,small,4.502,5700,223000,251000,8.5589,8132.009,141,1007
python,4,150,4,small,2.0008,3200,250000,295000,0.3185,5403.8631,109,1053696
python,4,150,5,small,3.3334,7300,236000,245000,6.2447,8029.2094,153,8751
node,4,250,1,small,18.7926,4100,19000,27000,2.8264,0.2382,26298,9174
node,4,250,2,small,25.4566,2800,17000,24000,10.2703,0.2061,28732,1156096
node,4,250,3,small,20.4052,1400,5800,23000,0.0,1.346,97245,1174528
node,4,250,4,small,8.0643,9700,82000,102000,8.1344,0.4173,151,4226
node,4,250,5,small,7.5453,6400,37000,61000,8.4527,0.3654,33649,2852
python,4,250,1,small,2.0172,24000,391000,421000,3.6885,9909.5178,13,1048576
python,4,250,2,small,2.8544,3000,219000,225000,1.1796,1798.4573,116,7472
python,4,250,3,small,3.0981,3800,176000,274000,6.1433,4930.3103,13081,9202
python,4,250,4,small,2.2778,5100,336000,342000,2.5381,9325.3873,142,1391616
python,4,250,5,small,1.5002,39000,430000,475000,1.1173,11393.1583,155,1453056
node,4,300,1,small,22.9839,2900,14000,15000,6.4826,0.2218,40748,3484
node,4,300,2,small,24.6096,2500,9100,25000,9.9635,0.2208,36706,1646592
node,4,300,3,small,24.1877,1800,4900,5900,0.0,0.3678,37418,2848
node,4,300,4,small,26.5943,1400,3100,10000,0.0,0.2423,39596,3692
node,4,300,5,small,5.4403,2100,84000,84000,4.1298,1.6962,40097,1890304
python,4,300,1,small,4.2672,8100,97000,114000,19.1574,68.8923,12,6352
python,4,300,2,small,4.8359,6300,245000,271000,15.1316,9436.844,176,5608
python,4,300,3,small,3.4395,7300,256000,260000,5.0439,2992.3475,215,5424
python,4,300,4,small,5.2922,9000,104000,146000,6.7929,2114.8256,257,5547
python,4,300,5,small,1.8805,4900,502000,532000,10.0096,7183.4881,154,1270784
node,4,350,1,small,1.028,3600,665000,670000,4.2254,0.2366,9983,272384
node,4,350,2,small,7.5513,12000,40000,78000,3.8945,1.5734,38799,4521
node,4,350,3,small,9.1806,8400,37000,63000,7.4799,0.4816,19292,208
node,4,350,4,small,8.2499,13000,47000,77000,6.1093,0.4625,21,1934
node,4,350,5,small,25.7718,2200,4400,8300,0.0,0.1649,39502,5485
python,4,350,1,small,9.624,4200,50000,51000,0.0,0.0,133,5595
python,4,350,2,small,8.2305,2700,52000,53000,0.3442,38.313,135,500
python,4,350,3,small,14.8095,2600,28000,28000,0.0,44.6158,1871,575
python,4,350,4,small,3.0421,7600,94000,264000,7.3579,65.7876,109,6714
python,4,350,5,small,5.5759,43000,191000,211000,12.0125,6113.4009,252,5635
node,4,400,1,small,28.1241,2900,11000,22000,16.4692,1.1139,30047,1056768
node,4,400,2,small,26.3468,3600,14000,17000,11.1203,0.1858,8,1108992
node,4,400,3,small,32.9648,2300,13000,17000,7.2178,0.2342,33,1024
node,4,400,4,small,22.8928,2100,7100,10000,0.0,0.3496,39347,7833
node,4,400,5,small,33.3085,2100,4700,9400,0.0,0.239,39731,2419
python,4,400,1,small,6.4112,5600,82000,98000,8.901,430.5583,146,6444
