Framework,VCPU,Concurrency,Metric,N,Mean,Median,Std,Min,Max,CI95_Low,CI95_High,Shapiro_p,UseMedian,OutliersRemoved
node,4,1,RPS,5,1.6676,1.6604,0.0563,1.5876,1.7405,1.5977,1.7374,0.921093,False,0
node,4,1,P50_ms,5,6.0,6.0,0.0,6.0,6.0,6.0,6.0,1.0,False,0
node,4,1,P95_ms,5,2620.0,2600.0,109.5445,2500.0,2800.0,2483.9825,2756.0175,0.135023,False,0
node,4,1,P99_ms,5,3160.0,3100.0,240.8319,2900.0,3500.0,2860.9677,3459.0323,0.786878,False,0
node,4,1,ErrorRate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0
node,4,1,TTA_ms,5,2.009,1.6571,0.5006,1.6491,2.7118,1.3874,2.6305,0.045368,True,0
node,4,1,CPU_Usage,5,664.6,54.0,928.583,7.0,2107.0,-488.388,1817.588,0.064286,False,0
node,4,1,RAM_MB,4,3929.0,3886.0,108.775,3855.0,4089.0,3755.9147,4102.0853,0.080904,False,1
node,4,10,RPS,5,1.1277,0.9291,0.6129,0.4038,1.8055,0.3667,1.8888,0.389811,False,0
node,4,10,P50_ms,5,79.2,92.0,19.6647,51.0,95.0,54.7831,103.6169,0.108015,False,0
node,4,10,P95_ms,4,42000.0,39500.0,16911.5345,27000.0,62000.0,15089.9747,68910.0253,0.357972,False,1
node,4,10,P99_ms,4,50500.0,49000.0,20485.7674,32000.0,72000.0,17902.5726,83097.4274,0.189525,False,1
node,4,10,ErrorRate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0
node,4,10,TTA_ms,5,3.3463,3.7794,1.1891,1.8813,4.6755,1.8698,4.8227,0.507482,False,0
node,4,10,CPU_Usage,5,104.8,103.0,66.2925,34.0,203.0,22.4869,187.1131,0.786828,False,0
node,4,10,RAM_MB,5,1834.2,1471.0,1509.7063,187.0,4289.0,-40.348,3708.748,0.385088,False,0
node,4,25,RPS,3,15.4453,15.4245,0.0636,15.3946,15.5167,15.2872,15.6034,0.452859,False,2
node,4,25,P50_ms,5,31.0,28.0,5.099,26.0,37.0,24.6687,37.3313,0.119445,False,0
node,4,25,P95_ms,4,8000.0,8000.0,81.6497,7900.0,8100.0,7870.0772,8129.9228,0.682962,False,1
node,4,25,P99_ms,4,9650.0,9600.0,191.4854,9500.0,9900.0,9345.304,9954.696,0.272453,False,1
node,4,25,ErrorRate,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,1
node,4,25,TTA_ms,5,0.4026,0.4032,0.1067,0.2789,0.5227,0.2701,0.535,0.546855,False,0
node,4,25,CPU_Usage,5,10.6,11.0,5.0299,4.0,18.0,4.3545,16.8455,0.713071,False,0
node,4,25,RAM_MB,5,4318.0,4005.0,1693.142,2639.0,7153.0,2215.6865,6420.3135,0.219109,False,0
node,4,50,RPS,4,4.9169,5.3356,1.3169,3.0106,5.9857,2.8213,7.0125,0.243782,False,1
node,4,50,P50_ms,5,40.8,40.0,2.1679,39.0,44.0,38.1081,43.4919,0.271729,False,0
node,4,50,P95_ms,5,16400.0,16000.0,547.7226,16000.0,17000.0,15719.9126,17080.0874,0.00647,True,0
node,4,50,P99_ms,5,20400.0,20000.0,547.7226,20000.0,21000.0,19719.9126,21080.0874,0.00647,True,0
node,4,50,ErrorRate,5,0.2104,0.228,0.2063,0.0,0.4207,-0.0458,0.4666,0.149978,False,0
node,4,50,TTA_ms,5,0.7204,0.6577,0.2415,0.4851,1.0988,0.4205,1.0202,0.563112,False,0
node,4,50,CPU_Usage,5,14.2,14.0,13.1795,1.0,35.0,-2.1645,30.5645,0.51595,False,0
node,4,50,RAM_MB,5,3735.2,5017.0,2120.5369,540.0,5329.0,1102.2057,6368.1943,0.104126,False,0
node,4,100,RPS,5,2.9697,2.9795,0.5612,2.1566,3.7042,2.2729,3.6665,0.922083,False,0
node,4,100,P50_ms,5,104.4,110.0,13.3716,86.0,120.0,87.797,121.003,0.690794,False,0
node,4,100,P95_ms,5,38400.0,38000.0,3847.0768,34000.0,44000.0,33623.2232,43176.7768,0.927636,False,0
node,4,100,P99_ms,5,103000.0,95000.0,63075.3518,54000.0,209000.0,24681.6065,181318.3935,0.106632,False,0
node,4,100,ErrorRate,5,1.5622,1.7195,0.8745,0.554,2.4735,0.4764,2.648,0.343393,False,0
node,4,100,TTA_ms,5,0.5273,0.524,0.295,0.1865,0.9115,0.161,0.8935,0.862885,False,0
node,4,100,CPU_Usage,5,9008.8,9941.0,8180.2761,724.0,19706.0,-1148.3544,19165.9544,0.486364,False,0
node,4,100,RAM_MB,4,4833.5,4347.5,1574.8339,3545.0,7094.0,2327.5879,7339.4121,0.296357,False,1
node,4,150,RPS,5,2.282,1.6807,1.0631,1.4341,3.877,0.962,3.602,0.155987,False,0
node,4,150,P50_ms,5,2608.0,3100.0,2303.7296,210.0,5200.0,-252.4581,5468.4581,0.268617,False,0
node,4,150,P95_ms,4,67250.0,63000.0,31972.6446,39000.0,104000.0,16374.3877,118125.6123,0.298333,False,1
node,4,150,P99_ms,5,418400.0,443000.0,287510.5215,138000.0,828000.0,61408.5363,775391.4637,0.49897,False,0
node,4,150,ErrorRate,5,4.9542,4.6267,4.6465,0.6443,11.642,-0.8152,10.7236,0.471406,False,0
node,4,150,TTA_ms,4,0.6605,0.731,0.354,0.1694,1.0104,0.0972,1.2238,0.561296,False,1
node,4,150,CPU_Usage,5,18277.8,12115.0,19098.0161,43.0,40634.0,-5435.519,41991.119,0.199172,False,0
node,4,150,RAM_MB,5,5617.0,4227.0,2517.3837,3482.0,8551.0,2491.2553,8742.7447,0.057433,False,0
node,4,250,RPS,5,16.0528,18.7926,7.9227,7.5453,25.4566,6.2155,25.8901,0.319582,False,0
node,4,250,P50_ms,5,4880.0,4100.0,3262.9741,1400.0,9700.0,828.4825,8931.5175,0.789707,False,0
node,4,250,P95_ms,5,32160.0,19000.0,30022.1252,5800.0,82000.0,-5117.392,69437.392,0.205918,False,0
node,4,250,P99_ms,5,47400.0,27000.0,34370.0451,23000.0,102000.0,4723.9524,90076.0476,0.079225,False,0
node,4,250,ErrorRate,5,5.9368,8.1344,4.326,0.0,10.2703,0.5653,11.3083,0.38143,False,0
node,4,250,TTA_ms,4,0.3068,0.3018,0.1008,0.2061,0.4173,0.1463,0.4672,0.467233,False,1
node,4,250,CPU_Usage,5,37215.0,28732.0,35990.2748,151.0,97245.0,-7472.8285,81902.8285,0.190023,False,0
node,4,250,RAM_MB,5,469375.2,9174.0,635338.246,2852.0,1174528.0,-319501.4268,1258251.8268,0.007814,True,0
node,4,300,RPS,4,24.5939,24.3986,1.501,22.9839,26.5943,22.2055,26.9823,0.798857,False,1
node,4,300,P50_ms,5,2140.0,2100.0,585.662,1400.0,2900.0,1412.8046,2867.1954,0.982349,False,0
node,4,300,P95_ms,4,7775.0,7000.0,4852.0614,3100.0,14000.0,54.2875,15495.7125,0.714047,False,1
